Results for running testme.c: 
Iteration 1: c = (, s = , state = 0
Iteration 2: c = a, s = se, state = 0
Iteration 3: c = [, s = t, state = 0
Iteration 4: c =  , s = tsree, state = 1
Iteration 5: c = ], s = set, state = 1
Iteration 6: c = (, s = sr, state = 1
Iteration 7: c = }, s = ets, state = 2
Iteration 8: c = }, s = r, state = 2
Iteration 9: c = x, s = rts, state = 2
Iteration 10: c = x, s = e, state = 2
Iteration 11: c = {, s = tseer, state = 2
Iteration 12: c = (, s = es, state = 3
Iteration 13: c = }, s = rees, state = 3
Iteration 14: c = a, s = , state = 3
Iteration 15: c = }, s = reets, state = 3
Iteration 16: c = }, s = ees, state = 3
Iteration 17: c = [, s = , state = 3
Iteration 18: c = {, s = etsr, state = 3
Iteration 19: c = [, s = tr, state = 3
Iteration 20: c = ), s = etre, state = 3
Iteration 21: c = a, s = e, state = 3
Iteration 22: c = x, s = es, state = 3
Iteration 23: c = x, s = retes, state = 3
Iteration 24: c = x, s = r, state = 3
Iteration 25: c = }, s = s, state = 3
Iteration 26: c = }, s = r, state = 3
Iteration 27: c = ), s = e, state = 3
Iteration 28: c = ), s = r, state = 3
Iteration 29: c = a, s = , state = 3
Iteration 30: c = ], s = sr, state = 3
Iteration 31: c = a, s = s, state = 3
Iteration 32: c = {, s = e, state = 3
Iteration 33: c = {, s = ter, state = 3
Iteration 34: c = ), s = e, state = 3
Iteration 35: c = a, s = s, state = 3
Iteration 36: c = a, s = , state = 3
Iteration 37: c = }, s = e, state = 3
Iteration 38: c = a, s = ts, state = 3
Iteration 39: c = [, s = e, state = 3
Iteration 40: c = (, s = s, state = 3
Iteration 41: c = [, s = tr, state = 3
Iteration 42: c = [, s = re, state = 3
Iteration 43: c = a, s = , state = 3
Iteration 44: c = a, s = ees, state = 3
Iteration 45: c = x, s = ts, state = 3
Iteration 46: c = {, s = ertse, state = 3
Iteration 47: c = {, s = teesr, state = 3
Iteration 48: c = (, s = rets, state = 3
Iteration 49: c = (, s = e, state = 3
Iteration 50: c = a, s = rsete, state = 3
Iteration 51: c = a, s = es, state = 3
Iteration 52: c = }, s = , state = 3
Iteration 53: c =  , s = e, state = 3
Iteration 54: c = }, s = , state = 4
Iteration 55: c = {, s = etsre, state = 4
Iteration 56: c = {, s = rs, state = 4
Iteration 57: c = [, s = ts, state = 4
Iteration 58: c = [, s = r, state = 4
Iteration 59: c = }, s = ts, state = 4
Iteration 60: c = x, s = re, state = 4
Iteration 61: c = ], s = e, state = 4
Iteration 62: c = (, s = re, state = 4
Iteration 63: c = x, s = e, state = 4
Iteration 64: c =  , s = et, state = 4
Iteration 65: c = (, s = e, state = 4
Iteration 66: c = (, s = ers, state = 4
Iteration 67: c = a, s = , state = 4
Iteration 68: c = [, s = srete, state = 5
Iteration 69: c = }, s = rse, state = 5
Iteration 70: c = (, s = eesrt, state = 5
Iteration 71: c = x, s = e, state = 5
Iteration 72: c =  , s = retes, state = 6
Iteration 73: c = }, s = , state = 6
Iteration 74: c =  , s = e, state = 7
Iteration 75: c = {, s = rete, state = 7
Iteration 76: c = ), s = etser, state = 7
Iteration 77: c = (, s = , state = 8
Iteration 78: c = (, s = t, state = 8
Iteration 79: c = {, s = r, state = 8
Iteration 80: c = a, s = s, state = 8
Iteration 81: c = (, s = ere, state = 8
Iteration 82: c = ), s = er, state = 8
Iteration 83: c = x, s = et, state = 8
Iteration 84: c = {, s = t, state = 8
Iteration 85: c = }, s = , state = 8
Iteration 86: c = ], s = , state = 8
Iteration 87: c = [, s = esr, state = 9
Iteration 88: c = x, s = t, state = 9
Iteration 89: c = [, s = ert, state = 9
Iteration 90: c = }, s = t, state = 9
Iteration 91: c = ), s = teser, state = 9
Iteration 92: c = ), s = e, state = 9
Iteration 93: c =  , s = eer, state = 9
Iteration 94: c = [, s = e, state = 9
Iteration 95: c = x, s = e, state = 9
Iteration 96: c = (, s = etrse, state = 9
Iteration 97: c = ], s = teesr, state = 9
Iteration 98: c = x, s = serte, state = 9
Iteration 99: c = {, s = t, state = 9
Iteration 100: c = }, s = ts, state = 9
Iteration 101: c = }, s = , state = 9
Iteration 102: c = a, s = erest, state = 9
Iteration 103: c = }, s = rte, state = 9
Iteration 104: c = (, s = ret, state = 9
Iteration 105: c =  , s = srete, state = 9
Iteration 106: c = }, s = se, state = 9
Iteration 107: c = x, s = , state = 9
Iteration 108: c = {, s = setr, state = 9
